     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     15360,         0,         0,   0.206,pymatching,3900460a63feaeac946f70c12b089f0d3f451dea96e1979d5a7c3835592bdabf,"{""d"":5,""p"":0.0001,""r"":5}",
      2048,        54,         0,   0.113,pymatching,b43a5e88172e509df27f1224b311ee42f2f6d7bb017feba16b8458199c323afa,"{""d"":5,""p"":0.002154434690031882,""r"":5}","{""obs_mistake_mask=E"":54}"
       512,       259,         0,   0.293,pymatching,30338a2d09b50dda8264a39d0cd67716c086cf52a996c4c57c540892a182d80d,"{""d"":5,""p"":0.021544346900318822,""r"":5}","{""obs_mistake_mask=E"":259}"
    100352,        12,         0,   0.283,pymatching,a8c4d6b6c78cc7050c7b8f8ba37d92ce0e84753760df9864165fe3505fc9b0f0,"{""d"":3,""p"":0.0001,""r"":3}","{""obs_mistake_mask=E"":12}"
       256,       114,         0,   0.299,pymatching,7e55582de7f315999daf350197c0b84e7781f860c78ce0db5e7d12aff639a14d,"{""d"":5,""p"":0.1,""r"":5}","{""obs_mistake_mask=E"":114}"
     11264,         1,         0,   0.210,pymatching,21ed63792311196b016b2d1efe8047ea88390cd878fa0ffe507d9538a4f47e23,"{""d"":5,""p"":0.00046415888336127773,""r"":5}","{""obs_mistake_mask=E"":1}"
      3072,        73,         0,   0.170,pymatching,b43a5e88172e509df27f1224b311ee42f2f6d7bb017feba16b8458199c323afa,"{""d"":5,""p"":0.002154434690031882,""r"":5}","{""obs_mistake_mask=E"":73}"
      9216,        26,         0,   0.212,pymatching,346e05d0d9f2a41a5ec24bb63bc22edcb7f4b66ef21d292622ae55fe72ae2254,"{""d"":5,""p"":0.001,""r"":5}","{""obs_mistake_mask=E"":26}"
     24576,         1,         0,   0.295,pymatching,7a3aefc2a0d034cdad01f12f3adf4bb59c035b5fef5ebcc7f81fc8b8a2b78697,"{""d"":5,""p"":0.00021544346900318845,""r"":5}","{""obs_mistake_mask=E"":1}"
     24576,         0,         0,   0.300,pymatching,3900460a63feaeac946f70c12b089f0d3f451dea96e1979d5a7c3835592bdabf,"{""d"":5,""p"":0.0001,""r"":5}",
    135168,        95,         0,   0.398,pymatching,288a33a222fdbef8e8cc4b35b4b8e4ce51357f819f528475f4da6da6378319f8,"{""d"":3,""p"":0.00021544346900318845,""r"":3}","{""obs_mistake_mask=E"":95}"
      4096,       129,         0,   0.219,pymatching,b43a5e88172e509df27f1224b311ee42f2f6d7bb017feba16b8458199c323afa,"{""d"":5,""p"":0.002154434690031882,""r"":5}","{""obs_mistake_mask=E"":129}"
       512,       254,         0,   0.434,pymatching,b1cbe4cc35f33efa50578ba48cbf3b3f7657ac0abc223453e4bca0bb755db11f,"{""d"":5,""p"":0.046415888336127774,""r"":5}","{""obs_mistake_mask=E"":254}"
    123904,        23,         0,   0.389,pymatching,a8c4d6b6c78cc7050c7b8f8ba37d92ce0e84753760df9864165fe3505fc9b0f0,"{""d"":3,""p"":0.0001,""r"":3}","{""obs_mistake_mask=E"":23}"
     19456,         9,         0,   0.301,pymatching,21ed63792311196b016b2d1efe8047ea88390cd878fa0ffe507d9538a4f47e23,"{""d"":5,""p"":0.00046415888336127773,""r"":5}","{""obs_mistake_mask=E"":9}"
       273,         0,         0,   0.018,pymatching,e0b317a6a7a12d5695fe1fed162a98f65e9304b623e114f5001f279c6f80c469,"{""d"":7,""p"":0.00021544346900318845,""r"":7}",
